"barcode";"brand";"caption";"product_name";"description";"size";"unit";"category";"supplier";"cost";"price_standard";"price_discounted";"price_dealer";"price_customer";"price_notax";"price_special";"stock_in";"stock_out";"stock_alert";"item_code";"item_name";"image";"warehouse";"remarks";"create_time";"created_by";"update_time";"updated_by"
"3915261122";"GLOMED";"Mint Green ";"Gloves";"Mint Green ";"S";"";"";"";0.0;100.0;0.0;0.0;0.0;0.0;0.0;99;0;0;"GLO00003";"Glomed  Gloves S";"";"Clover Care";"";"2022-11-26 15:40:47";"Clover Care";"2023-02-05 16:56:30";"081675587370"
"3209031222";"GLOMED";"Regular Latex";"Gloves";"Powder Free";"L";"";"";"";0.0;100.0;0.0;0.0;0.0;0.0;0.0;100;0;0;"GLO00006";"Glomed  Gloves L";"";"Clover Care";"REPACKED 

DISTRIBUTED BY:



";"2022-12-03 09:37:09";"Clover Care";"";""
"2011031222";"GLOMED";"Regular Latex";"Gloves";"Powder Free";"S";"";"";"";0.0;100.0;0.0;0.0;0.0;0.0;0.0;100;0;0;"";"";"";"Clover Care";"";"2022-12-03 11:22:42";"Clover Care";"";""
"2411031222";"GLOMED";"Regular Latex ";"Gloves";"Powder Free";"S";"";"";"";0.0;100.0;0.0;0.0;0.0;0.0;0.0;100;0;0;"";"";"";"Clover Care";"";"2022-12-03 11:26:32";"Clover Care";"";""
"2911031222";"GLOMED";"Regular Latex";"Gloves";"Powder Free";"M";"";"";"";0.0;100.0;0.0;0.0;0.0;0.0;0.0;100;0;0;"";"";"";"Clover Care";"";"2022-12-03 11:31:30";"Clover Care";"";""
"3511031222";"GLOMED";"Regular Latex ";"Gloves";"Powder Free";"L";"";"";"";0.0;100.0;0.0;0.0;0.0;0.0;0.0;100;0;0;"";"";"";"Clover Care";"";"2022-12-03 11:36:54";"Clover Care";"";""
"4911031222";"GLOMED";"Black Latex";"Gloves";"Powder Free";"S";"";"";"";0.0;100.0;0.0;0.0;0.0;0.0;0.0;100;0;0;"";"";"";"Clover Care";"";"2022-12-03 11:51:14";"Clover Care";"";""
"5111031222";"GLOMED";"Black Latex";"Gloves";"Powder Free";"M";"";"";"";0.0;100.0;0.0;0.0;0.0;0.0;0.0;100;0;0;"GLO00023";"Glomed Gloves M";"";"Clover Care";"";"2022-12-03 11:51:36";"Clover Care";"";""
"2313031222";"GLOMED";"Black Latex ";"Gloves";"Powder Free";"L";"";"";"";0.0;100.0;0.0;0.0;0.0;0.0;0.0;100;0;0;"GLO00028";"Glomed  Gloves L";"";"Clover Care";"";"2022-12-03 13:25:03";"Clover Care";"";""
"2613031222";"GLOMED";"Mint Green ";"Gloves";"Powder Free";"XS";"";"";"";0.0;100.0;0.0;0.0;0.0;0.0;0.0;100;0;0;"GLO00029";"Glomed  Gloves Xs";"";"Clover Care";"";"2022-12-03 13:26:56";"Clover Care";"";""
"2813031222";"GLOMED";"Mint Green ";"Gloves";"Powder Free";"S";"";"";"";0.0;100.0;0.0;0.0;0.0;0.0;0.0;100;0;0;"GLO00033";"Glomed  Gloves S";"";"Clover Care";"";"2022-12-03 13:28:46";"Clover Care";"";""
"2913031222";"GLOMED";"Mint Green ";"Gloves";"Powder Free";"M";"";"";"";0.0;100.0;0.0;0.0;0.0;0.0;0.0;100;0;0;"GLO00035";"Glomed  Gloves M";"";"Clover Care";"";"2022-12-03 13:29:54";"Clover Care";"";""
"3013031222";"GREAT GLOVE";"Latex Examination ";"Gloves";"Powder Free";"S";"";"";"";0.0;100.0;0.0;0.0;0.0;0.0;0.0;100;0;0;"GRE00036";"Great Glove Gloves S";"";"Clover Care";"";"2022-12-03 13:31:23";"Clover Care";"";""
"3113031222";"GREAT GLOVE";"Latex Examination ";"Gloves";"Powder Free";"M";"";"";"";0.0;100.0;0.0;0.0;0.0;0.0;0.0;100;0;0;"GRE00037";"Great Glove Gloves M";"";"Clover Care";"";"2022-12-03 13:31:42";"Clover Care";"";""
"3213031222";"GREAT GLOVE";"Latex Examination ";"Gloves";"Powder Free";"L";"";"";"";0.0;100.0;0.0;0.0;0.0;0.0;0.0;100;0;0;"GRE00039";"Great Glove Gloves L";"";"Clover Care";"";"2022-12-03 13:32:18";"Clover Care";"";""
"3313031222";"HCD";"Latex Examination ";"Gloves";"Powder Free";"S";"";"";"";0.0;100.0;0.0;0.0;0.0;0.0;0.0;100;0;0;"HCD00040";"Hcd Gloves S";"";"Clover Care";"";"2022-12-03 13:33:16";"Clover Care";"";""
"3413031222";"HCD";"Latex Examination ";"Gloves";"Powder Free";"M";"";"";"";0.0;100.0;0.0;0.0;0.0;0.0;0.0;100;0;0;"HCD00043";"Hcd Gloves M";"";"Clover Care";"";"2022-12-03 13:34:14";"Clover Care";"";""
"3513031222";"GLOMED";"Slim Blue Nitrile ";"Gloves";"Powder Free";"S";"";"";"";0.0;100.0;0.0;0.0;0.0;0.0;0.0;100;0;0;"GLO00044";"Glomed  Gloves S";"";"Clover Care";"";"2022-12-03 13:35:41";"Clover Care";"";""
"3613031222";"GLOMED";"Slim Blue Nitrile ";"Gloves";"Powder Free";"M";"";"";"";0.0;100.0;0.0;0.0;0.0;0.0;0.0;100;0;0;"GLO00046";"Glomed  Gloves M";"";"Clover Care";"";"2022-12-03 13:36:35";"Clover Care";"";""
"3713031222";"GLOMED";"Slim Blue Nitrile ";"Gloves";"Powder Free";"L";"";"";"";0.0;100.0;0.0;0.0;0.0;0.0;0.0;100;0;0;"GLO00048";"Glomed  Gloves L";"";"Clover Care";"";"2022-12-03 13:37:42";"Clover Care";"";""
"3813031222";"GLOMED";"Synthetic Nitrile ";"Gloves";"Powder Free";"S";"";"";"";0.0;100.0;0.0;0.0;0.0;0.0;0.0;100;0;0;"GLO00050";"Glomed  Gloves S";"";"Clover Care";"";"2022-12-03 13:38:51";"Clover Care";"";""
"3913031222";"GLOMED";"Synthetic Nitrile ";"Gloves";"Powder Free";"M";"";"";"";0.0;100.0;0.0;0.0;0.0;0.0;0.0;100;0;0;"GLO00051";"Glomed  Gloves M";"";"Clover Care";"";"2022-12-03 13:39:18";"Clover Care";"";""
"4013031222";"GLOMED";"Synthetic Nitrile ";"Gloves";"Powder Free";"L";"";"";"";0.0;100.0;0.0;0.0;0.0;0.0;0.0;100;0;0;"GLO00056";"Glomed  Gloves L";"";"Clover Care";"";"2022-12-03 13:40:41";"Clover Care";"";""
"4213031222";"GREAT GLOVE";"Nitrile";"Gloves";"Powder Free";"S";"";"";"";0.0;100.0;0.0;0.0;0.0;0.0;0.0;100;0;0;"GRE00057";"Great Glove Gloves S";"";"Clover Care";"";"2022-12-03 13:42:42";"Clover Care";"";""
"4313031222";"GREAT GLOVE";"Nitrile";"Gloves";"Powder Free";"M";"";"";"";0.0;100.0;0.0;0.0;0.0;0.0;0.0;100;0;0;"GRE00059";"Great Glove Gloves M";"";"Clover Care";"";"2022-12-03 13:43:17";"Clover Care";"";""
"5213031222";"GREAT GLOVE";"Nitrile";"Gloves";"Powder Free";"L";"";"";"";0.0;100.0;0.0;0.0;0.0;0.0;0.0;100;0;0;"GRE00065";"Great Glove Gloves L";"";"Clover Care";"";"2022-12-03 13:52:39";"Clover Care";"";""
"5313031222";"HCD";"Nitrile";"Gloves";"Powder Free";"S";"";"";"";0.0;100.0;0.0;0.0;0.0;0.0;0.0;100;0;0;"HCD00067";"Hcd Gloves S";"";"Clover Care";"";"2022-12-03 13:53:34";"Clover Care";"";""
"5413031222";"HCD";"Nitrile";"Gloves";"Powder Free";"M";"";"";"";0.0;100.0;0.0;0.0;0.0;0.0;0.0;100;0;0;"HCD00070";"Hcd Gloves M";"";"Clover Care";"";"2022-12-03 13:54:10";"Clover Care";"";""
"5513031222";"GREAT GLOVE";"Vinyl Examination";"Gloves";"Powder Free";"S";"";"";"";0.0;100.0;0.0;0.0;0.0;0.0;0.0;100;0;0;"GRE00071";"Great Glove Gloves S";"";"Clover Care";"";"2022-12-03 13:57:26";"Clover Care";"";""
"5713031222";"GREAT GLOVE";"Vinyl Examination";"Gloves";"Powder Free";"M";"";"";"";0.0;100.0;0.0;0.0;0.0;0.0;0.0;100;0;0;"GRE00072";"Great Glove Gloves M";"";"Clover Care";"";"2022-12-03 13:57:45";"Clover Care";"";""
"5813031222";"GREAT GLOVE";"Vinyl Examination";"Gloves";"Powder Free";"L";"";"";"";0.0;100.0;0.0;0.0;0.0;0.0;0.0;100;0;0;"GRE00073";"Great Glove Gloves L";"";"Clover Care";"";"2022-12-03 13:58:13";"Clover Care";"";""
"5913031222";"GLOMED";"Vinyl Examination";"Gloves";"Powder Free";"S";"";"";"";0.0;100.0;0.0;0.0;0.0;0.0;0.0;100;0;0;"GLO00075";"Glomed  Gloves S";"";"Clover Care";"";"2022-12-03 13:59:06";"Clover Care";"";""
"0014031222";"GLOMED";"Vinyl Examination";"Gloves";"Powder Free";"M";"";"";"";0.0;100.0;0.0;0.0;0.0;0.0;0.0;100;0;0;"GLO00078";"Glomed  Gloves M";"";"Clover Care";"";"2022-12-03 14:00:02";"Clover Care";"";""
"0114031222";"GLOMED";"Vinyl Examination";"Gloves";"Powder Free";"L";"";"";"";0.0;100.0;0.0;0.0;0.0;0.0;0.0;100;0;0;"GLO00079";"Glomed  Gloves L";"";"Clover Care";"";"2022-12-03 14:01:48";"Clover Care";"";""
"0214031222";"GLOMED";"Vinyl Examination";"Gloves";"Powder Free";"L";"";"";"";0.0;100.0;0.0;0.0;0.0;0.0;0.0;100;0;0;"GLO00081";"Glomed  Gloves L";"";"Clover Care";"";"2022-12-03 14:02:03";"Clover Care";"";""
